         26684135 function calls (26579068 primitive calls) in 110.696 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.029    0.029 add_newdocs.py:10(<module>)
        1    0.021    0.021    0.028    0.028 explore.py:46(__init__)
     3552    0.009    0.000    0.027    0.000 WidgetGroup.py:196(acceptsType)
    80242    0.027    0.000    0.027    0.000 {built-in method m21}
    10015    0.021    0.000    0.027    0.000 PlotItem.py:1023(clipToViewMode)
    80242    0.026    0.000    0.026    0.000 {built-in method m12}
       99    0.000    0.000    0.026    0.000 sre_parse.py:677(parse)
      128    0.001    0.000    0.026    0.000 AxisItem.py:274(setPen)
      288    0.026    0.000    0.026    0.000 {built-in method setHtml}
    10048    0.026    0.000    0.026    0.000 _internal.py:225(__init__)
     5285    0.020    0.000    0.026    0.000 PlotItem.py:1219(updateButtons)
   301/99    0.001    0.000    0.025    0.000 sre_parse.py:301(_parse_sub)
    80242    0.025    0.000    0.025    0.000 {built-in method m22}
  400/103    0.009    0.000    0.025    0.000 sre_parse.py:379(_parse)
        2    0.001    0.001    0.025    0.012 __init__.py:15(<module>)
       99    0.000    0.000    0.024    0.000 sre_compile.py:478(_code)
        1    0.001    0.001    0.023    0.023 build_ext.py:3(<module>)
    10015    0.022    0.000    0.022    0.000 PlotDataItem.py:285(setDownsampling)
       32    0.001    0.000    0.022    0.001 LabelItem.py:19(__init__)
        1    0.002    0.002    0.021    0.021 system_info.py:113(<module>)
    84379    0.020    0.000    0.020    0.000 GraphicsItem.py:533(viewTransformChanged)
     5009    0.020    0.000    0.020    0.000 {numpy.core.multiarray.zeros}
    10015    0.020    0.000    0.020    0.000 ScatterPlotItem.py:581(measureSpotSizes)
    39647    0.020    0.000    0.020    0.000 {built-in method widthF}
        1    0.000    0.000    0.019    0.019 accelerate_tools.py:9(<module>)
     9760    0.019    0.000    0.019    0.000 {fromRawData}
    20030    0.013    0.000    0.019    0.000 PlotDataItem.py:686(isSequence)
        1    0.000    0.000    0.019    0.019 inspect.py:25(<module>)
   807/99    0.006    0.000    0.019    0.000 sre_compile.py:32(_compile)
    10015    0.013    0.000    0.019    0.000 weakref.py:342(get)
    39806    0.019    0.000    0.019    0.000 {built-in method top}
        1    0.000    0.000    0.018    0.018 HistogramLUTItem.py:3(<module>)
       32    0.001    0.000    0.018    0.001 LabelItem.py:36(setText)
    19520    0.018    0.000    0.018    0.000 {_struct.pack}
        1    0.000    0.000    0.018    0.018 GradientEditorItem.py:1(<module>)
    54973    0.018    0.000    0.018    0.000 ViewBox.py:202(implements)
    10016    0.017    0.000    0.017    0.000 PlotCurveItem.py:521(clear)
        1    0.000    0.000    0.017    0.017 colormap.py:1(<module>)
